Date,Open,High,Low,Close,Volume
20140102 09:30:00 US/Eastern,15.45,15.45,15.41,15.42,1068600
20140102 09:35:00 US/Eastern,15.42,15.43,15.37,15.4,549300
20140102 09:40:00 US/Eastern,15.39,15.42,15.35,15.42,626100
20140102 09:45:00 US/Eastern,15.41,15.42,15.33,15.35,1079800
20140102 09:50:00 US/Eastern,15.36,15.37,15.34,15.35,367700
20140102 09:55:00 US/Eastern,15.35,15.37,15.34,15.35,319100
20140102 10:00:00 US/Eastern,15.35,15.36,15.31,15.33,688100
20140102 10:05:00 US/Eastern,15.33,15.33,15.3,15.31,614300
20140102 10:10:00 US/Eastern,15.32,15.33,15.3,15.31,331100
20140102 10:15:00 US/Eastern,15.31,15.32,15.31,15.31,272200
20140102 10:20:00 US/Eastern,15.31,15.31,15.3,15.31,288300
20140102 10:25:00 US/Eastern,15.3,15.31,15.3,15.3,340600
20140102 10:30:00 US/Eastern,15.3,15.31,15.29,15.3,935000
20140102 10:35:00 US/Eastern,15.29,15.3,15.28,15.28,330600
20140102 10:40:00 US/Eastern,15.29,15.33,15.28,15.32,488600
20140102 10:45:00 US/Eastern,15.33,15.34,15.32,15.34,324600
20140102 10:50:00 US/Eastern,15.34,15.35,15.32,15.33,604600
20140102 10:55:00 US/Eastern,15.33,15.36,15.33,15.36,377200
20140102 11:00:00 US/Eastern,15.36,15.37,15.35,15.36,377900
20140102 11:05:00 US/Eastern,15.37,15.38,15.36,15.37,464400
20140102 11:10:00 US/Eastern,15.36,15.38,15.35,15.37,314100
20140102 11:15:00 US/Eastern,15.36,15.37,15.34,15.37,441100
20140102 11:20:00 US/Eastern,15.36,15.37,15.36,15.37,191800
20140102 11:25:00 US/Eastern,15.36,15.37,15.35,15.35,319500
20140102 11:30:00 US/Eastern,15.36,15.36,15.34,15.34,424500
20140102 11:35:00 US/Eastern,15.35,15.36,15.34,15.35,387800
20140102 11:40:00 US/Eastern,15.35,15.35,15.34,15.35,95200
20140102 11:45:00 US/Eastern,15.34,15.35,15.33,15.33,156300
20140102 11:50:00 US/Eastern,15.33,15.34,15.31,15.31,455800
20140102 11:55:00 US/Eastern,15.31,15.32,15.3,15.32,353100
20140102 12:00:00 US/Eastern,15.31,15.34,15.31,15.33,375000
20140102 12:05:00 US/Eastern,15.32,15.33,15.32,15.33,82200
20140102 12:10:00 US/Eastern,15.33,15.33,15.32,15.33,70700
20140102 12:15:00 US/Eastern,15.32,15.33,15.32,15.33,136800
20140102 12:20:00 US/Eastern,15.33,15.34,15.32,15.34,246900
20140102 12:25:00 US/Eastern,15.34,15.34,15.32,15.34,334800
20140102 12:30:00 US/Eastern,15.33,15.34,15.32,15.33,121500
20140102 12:35:00 US/Eastern,15.33,15.33,15.32,15.33,220700
20140102 12:40:00 US/Eastern,15.33,15.33,15.32,15.32,504300
20140102 12:45:00 US/Eastern,15.33,15.34,15.32,15.34,193400
20140102 12:50:00 US/Eastern,15.34,15.35,15.33,15.34,249500
20140102 12:55:00 US/Eastern,15.35,15.35,15.34,15.35,138000
20140102 13:00:00 US/Eastern,15.35,15.38,15.34,15.37,383500
20140102 13:05:00 US/Eastern,15.37,15.38,15.34,15.35,328400
20140102 13:10:00 US/Eastern,15.34,15.35,15.33,15.34,132600
20140102 13:15:00 US/Eastern,15.34,15.34,15.33,15.33,84000
20140102 13:20:00 US/Eastern,15.34,15.34,15.32,15.32,404800
20140102 13:25:00 US/Eastern,15.32,15.33,15.32,15.33,116800
20140102 13:30:00 US/Eastern,15.33,15.34,15.32,15.34,252800
20140102 13:35:00 US/Eastern,15.34,15.34,15.32,15.32,344100
20140102 13:40:00 US/Eastern,15.32,15.33,15.32,15.33,272300
20140102 13:45:00 US/Eastern,15.32,15.34,15.32,15.33,423900
20140102 13:50:00 US/Eastern,15.33,15.33,15.31,15.32,249700
20140102 13:55:00 US/Eastern,15.31,15.34,15.31,15.33,258800
20140102 14:00:00 US/Eastern,15.33,15.34,15.33,15.34,168000
20140102 14:05:00 US/Eastern,15.34,15.34,15.32,15.32,388100
20140102 14:10:00 US/Eastern,15.32,15.33,15.31,15.32,210300
20140102 14:15:00 US/Eastern,15.31,15.32,15.3,15.3,388500
20140102 14:20:00 US/Eastern,15.3,15.33,15.3,15.31,406100
20140102 14:25:00 US/Eastern,15.32,15.32,15.3,15.3,472400
20140102 14:30:00 US/Eastern,15.31,15.32,15.3,15.31,167500
20140102 14:35:00 US/Eastern,15.32,15.33,15.3,15.3,428800
20140102 14:40:00 US/Eastern,15.31,15.32,15.3,15.32,178500
20140102 14:45:00 US/Eastern,15.32,15.33,15.31,15.32,200400
20140102 14:50:00 US/Eastern,15.32,15.33,15.32,15.33,173600
20140102 14:55:00 US/Eastern,15.32,15.34,15.32,15.34,263500
