Date,Open,High,Low,Close,Volume
20140102 09:30:00 US/Eastern,15.45,15.45,15.35,15.42,2244000
20140102 09:45:00 US/Eastern,15.41,15.42,15.33,15.35,1766600
20140102 10:00:00 US/Eastern,15.35,15.36,15.3,15.31,1633500
20140102 10:15:00 US/Eastern,15.31,15.32,15.3,15.3,901100
20140102 10:30:00 US/Eastern,15.3,15.33,15.28,15.32,1754200
20140102 10:45:00 US/Eastern,15.33,15.36,15.32,15.36,1306400
20140102 11:00:00 US/Eastern,15.36,15.38,15.35,15.37,1156400
20140102 11:15:00 US/Eastern,15.36,15.37,15.34,15.35,952400
20140102 11:30:00 US/Eastern,15.36,15.36,15.34,15.35,907500
20140102 11:45:00 US/Eastern,15.34,15.35,15.3,15.32,965200
20140102 12:00:00 US/Eastern,15.31,15.34,15.31,15.33,527900
20140102 12:15:00 US/Eastern,15.32,15.34,15.32,15.34,718500
20140102 12:30:00 US/Eastern,15.33,15.34,15.32,15.32,846500
20140102 12:45:00 US/Eastern,15.33,15.35,15.32,15.35,580900
20140102 13:00:00 US/Eastern,15.35,15.38,15.33,15.34,844500
20140102 13:15:00 US/Eastern,15.34,15.34,15.32,15.33,605600
20140102 13:30:00 US/Eastern,15.33,15.34,15.32,15.33,869200
20140102 13:45:00 US/Eastern,15.32,15.34,15.31,15.33,932400
20140102 14:00:00 US/Eastern,15.33,15.34,15.31,15.32,766400
20140102 14:15:00 US/Eastern,15.31,15.33,15.3,15.3,1267000
20140102 14:30:00 US/Eastern,15.31,15.33,15.3,15.32,774800
20140102 14:45:00 US/Eastern,15.32,15.34,15.31,15.34,637500
20140102 15:00:00 US/Eastern,15.34,15.38,15.33,15.37,936000
20140102 15:15:00 US/Eastern,15.38,15.41,15.37,15.4,1290800
20140102 15:30:00 US/Eastern,15.4,15.44,15.38,15.42,2265000
20140102 15:45:00 US/Eastern,15.42,15.45,15.42,15.44,2856600
20140103 09:30:00 US/Eastern,15.52,15.52,15.33,15.44,4033900
20140103 09:45:00 US/Eastern,15.44,15.45,15.37,15.39,1966700
20140103 10:00:00 US/Eastern,15.39,15.42,15.3,15.41,3822700
20140103 10:15:00 US/Eastern,15.41,15.45,15.37,15.41,3057500
20140103 10:30:00 US/Eastern,15.41,15.43,15.38,15.4,1367800
20140103 10:45:00 US/Eastern,15.4,15.45,15.39,15.42,1569100
20140103 11:00:00 US/Eastern,15.43,15.46,15.42,15.44,1095500
20140103 11:15:00 US/Eastern,15.45,15.46,15.42,15.46,1209000
20140103 11:30:00 US/Eastern,15.46,15.5,15.45,15.48,1648300
20140103 11:45:00 US/Eastern,15.48,15.49,15.46,15.46,1233800
20140103 12:00:00 US/Eastern,15.46,15.49,15.45,15.49,1549900
20140103 12:15:00 US/Eastern,15.49,15.55,15.48,15.55,1873900
20140103 12:30:00 US/Eastern,15.53,15.58,15.53,15.56,1553900
20140103 12:45:00 US/Eastern,15.56,15.62,15.55,15.62,2149900
20140103 13:00:00 US/Eastern,15.62,15.64,15.58,15.58,1516100
20140103 13:15:00 US/Eastern,15.59,15.59,15.56,15.57,1249100
20140103 13:30:00 US/Eastern,15.56,15.56,15.5,15.51,1195400
