Date,Open,High,Low,Close,Volume
20140102 09:30:00 US/Eastern,40.68,40.98,40.64,40.76,1070600
20140102 09:45:00 US/Eastern,40.75,40.79,40.46,40.58,1260400
20140102 10:00:00 US/Eastern,40.58,40.63,40.47,40.47,986400
20140102 10:15:00 US/Eastern,40.48,40.57,40.34,40.49,783200
20140102 10:30:00 US/Eastern,40.5,40.59,40.41,40.59,360400
20140102 10:45:00 US/Eastern,40.59,40.6,40.49,40.51,340900
20140102 11:00:00 US/Eastern,40.51,40.54,40.43,40.5,472100
20140102 11:15:00 US/Eastern,40.49,40.57,40.41,40.53,426500
20140102 11:30:00 US/Eastern,40.53,40.58,40.5,40.57,270300
20140102 11:45:00 US/Eastern,40.58,40.58,40.4,40.45,453700
20140102 12:00:00 US/Eastern,40.46,40.52,40.43,40.46,259100
20140102 12:15:00 US/Eastern,40.47,40.56,40.45,40.54,259600
20140102 12:30:00 US/Eastern,40.54,40.55,40.42,40.45,252000
20140102 12:45:00 US/Eastern,40.44,40.57,40.44,40.55,216300
20140102 13:00:00 US/Eastern,40.55,40.58,40.54,40.55,252200
20140102 13:15:00 US/Eastern,40.55,40.59,40.52,40.53,214300
20140102 13:30:00 US/Eastern,40.53,40.58,40.5,40.55,277100
20140102 13:45:00 US/Eastern,40.55,40.68,40.55,40.68,316600
20140102 14:00:00 US/Eastern,40.68,40.79,40.67,40.7,348700
20140102 14:15:00 US/Eastern,40.7,40.75,40.62,40.63,311900
20140102 14:30:00 US/Eastern,40.62,40.74,40.61,40.7,454900
20140102 14:45:00 US/Eastern,40.71,40.86,40.7,40.86,418400
20140102 15:00:00 US/Eastern,40.85,40.98,40.8,40.95,442800
20140102 15:15:00 US/Eastern,40.94,41.01,40.89,40.96,706200
20140102 15:30:00 US/Eastern,40.96,40.99,40.86,40.93,672800
20140102 15:45:00 US/Eastern,40.93,41.06,40.92,40.96,1654300
20140103 09:30:00 US/Eastern,40.92,40.95,40.51,40.8,969600
20140103 09:45:00 US/Eastern,40.81,40.81,40.68,40.72,582800
20140103 10:00:00 US/Eastern,40.7,40.76,39.0,39.38,11912700
20140103 10:15:00 US/Eastern,39.39,39.93,39.32,39.68,6098700
20140103 10:30:00 US/Eastern,39.68,39.98,39.65,39.97,2148100
20140103 10:45:00 US/Eastern,39.97,39.97,39.71,39.87,1182000
20140103 11:00:00 US/Eastern,39.87,39.95,39.8,39.9,1095800
20140103 11:15:00 US/Eastern,39.9,39.9,39.73,39.77,852500
20140103 11:30:00 US/Eastern,39.77,39.8,39.7,39.74,1059100
20140103 11:45:00 US/Eastern,39.73,39.73,39.55,39.58,1159100
20140103 12:00:00 US/Eastern,39.57,39.65,39.51,39.56,994400
20140103 12:15:00 US/Eastern,39.56,39.67,39.55,39.65,580400
20140103 12:30:00 US/Eastern,39.65,39.75,39.63,39.66,452700
20140103 12:45:00 US/Eastern,39.66,39.75,39.65,39.7,545600
20140103 13:00:00 US/Eastern,39.7,39.75,39.64,39.72,1000800
20140103 13:15:00 US/Eastern,39.71,39.73,39.63,39.73,450500
20140103 13:30:00 US/Eastern,39.73,39.73,39.61,39.64,639400
20140103 13:45:00 US/Eastern,39.63,39.7,39.55,39.7,790600
20140103 14:00:00 US/Eastern,39.7,39.7,39.55,39.63,1034000
20140103 14:15:00 US/Eastern,39.62,39.69,39.61,39.65,526700
20140103 14:30:00 US/Eastern,39.65,39.7,39.57,39.57,592500
20140103 14:45:00 US/Eastern,39.58,39.75,39.55,39.71,741900
20140103 15:00:00 US/Eastern,39.7,39.72,39.63,39.65,750800
20140103 15:15:00 US/Eastern,39.66,39.67,39.59,39.65,711600
20140103 15:30:00 US/Eastern,39.65,39.79,39.65,39.7,1087500
20140103 15:45:00 US/Eastern,39.7,39.7,39.53,39.56,2098700
20140106 09:30:00 US/Eastern,39.85,40.16,39.79,39.84,1626900
20140106 09:45:00 US/Eastern,39.83,40.01,39.69,39.95,1035300
20140106 10:00:00 US/Eastern,39.95,39.95,39.64,39.83,1123300
20140106 10:15:00 US/Eastern,39.82,40.07,39.81,39.93,1227600
20140106 10:30:00 US/Eastern,39.93,40.14,39.92,39.93,709900
20140106 10:45:00 US/Eastern,39.93,40.03,39.88,39.96,779400
20140106 11:00:00 US/Eastern,39.96,39.96,39.71,39.73,736200
20140106 11:15:00 US/Eastern,39.73,39.99,39.69,39.97,949600
20140106 11:30:00 US/Eastern,39.97,40.1,39.91,40.04,984500
20140106 11:45:00 US/Eastern,40.04,40.19,39.97,40.16,840900
20140106 12:00:00 US/Eastern,40.16,40.24,40.09,40.19,634900
20140106 12:15:00 US/Eastern,40.18,40.2,40.11,40.11,781400
20140106 12:30:00 US/Eastern,40.11,40.18,40.07,40.17,397100
20140106 12:45:00 US/Eastern,40.17,40.19,40.08,40.09,395700
20140106 13:00:00 US/Eastern,40.09,40.19,40.07,40.19,403400
